"Visitor arrival totals (Monthly)","","","",""
"","Actual Counts","Seasonally Adjusted","Trend","Counts Derived from a Sample"
"1963M09",5063,"..","..",5063
"1963M10",6959,"..","..",6959
"1963M11",7142,"..","..",7142
"1963M12",10504,"..","..",10504
"1964M01",8139,"..","..",8139
"1964M02",8552,"..","..",8552
"1964M03",6842,"..","..",6842
"1964M04",4195,"..","..",4195
"1964M05",4163,"..","..",4163
"1964M06",3205,"..","..",3205
"1964M07",2993,"..","..",2993
"1964M08",4308,"..","..",4308
"1964M09",5469,"..","..",5469
"1964M10",7750,"..","..",7750
"1964M11",8672,"..","..",8672
"1964M12",11641,"..","..",11641
"1965M01",9716,"..","..",9716
"1965M02",11456,"..","..",11456
"1965M03",8467,"..","..",8467
"1965M04",5430,"..","..",5430
"1965M05",4992,"..","..",4992
"1965M06",3478,"..","..",3478
"1965M07",3955,"..","..",3955
"1965M08",5725,"..","..",5725
"1965M09",7109,"..","..",7109
"1965M10",9266,"..","..",9266
"1965M11",9789,"..","..",9789
"1965M12",14859,"..","..",14859
"1966M01",12187,"..","..",12187
"1966M02",11207,"..","..",11207
"1966M03",10019,"..","..",10019
"1966M04",6678,"..","..",6678
"1966M05",6692,"..","..",6692
"1966M06",4377,"..","..",4377
"1966M07",5105,"..","..",5105
"1966M08",7678,"..","..",7678
"1966M09",7285,"..","..",7285
"1966M10",10992,"..","..",10992
"1966M11",10146,"..","..",10146
"1966M12",15729,"..","..",15729
"1967M01",14587,"..","..",14587
"1967M02",12457,"..","..",12457
"1967M03",11145,"..","..",11145
"1967M04",7998,"..","..",7998
"1967M05",6875,"..","..",6875
"1967M06",6285,"..","..",6285
"1967M07",7487,"..","..",7487
"1967M08",7701,"..","..",7701
"1967M09",7574,"..","..",7574
"1967M10",9441,"..","..",9441
"1967M11",10765,"..","..",10765
"1967M12",17169,"..","..",17169
"1968M01",14541,"..","..",14541
"1968M02",14265,"..","..",14265
"1968M03",13087,"..","..",13087
"1968M04",7891,"..","..",7891
"1968M05",7368,"..","..",7368
"1968M06",6059,"..","..",6059
"1968M07",7052,"..","..",7052
"1968M08",8550,"..","..",8550
"1968M09",7328,"..","..",7328
"1968M10",10409,"..","..",10409
"1968M11",12176,"..","..",12176
"1968M12",21328,"..","..",21328
"1969M01",13809,"..","..",13809
"1969M02",15323,"..","..",15323
"1969M03",14609,"..","..",14609
"1969M04",9314,"..","..",9314
"1969M05",8645,"..","..",8645
"1969M06",7192,"..","..",7192
"1969M07",8432,"..","..",8432
"1969M08",10029,"..","..",10029
"1969M09",8701,"..","..",8701
"1969M10",11678,"..","..",11678
"1969M11",15962,"..","..",15962
"1969M12",24415,"..","..",24415
"1970M01",16423,"..","..",16423
"1970M02",16902,"..","..",16902
"1970M03",17298,"..","..",17298
"1970M04",12086,"..","..",12086
"1970M05",9974,"..","..",9974
"1970M06",8837,"..","..",8837
"1970M07",10463,"..","..",10463
"1970M08",12917,"..","..",12917
"1970M09",10338,"..","..",10338
"1970M10",15552,"..","..",15552
"1970M11",18597,"..","..",18597
"1970M12",28193,"..","..",28193
"1971M01",19761,"..","..",19761
"1971M02",22278,"..","..",22278
"1971M03",21873,"..","..",21873
"1971M04",13623,"..","..",13623
"1971M05",17055,"..","..",17055
"1971M06",9995,"..","..",9995
"1971M07",12554,"..","..",12554
"1971M08",14615,"..","..",14615
"1971M09",12508,"..","..",12508
"1971M10",18974,"..","..",18974
"1971M11",22218,"..","..",22218
"1971M12",34035,"..","..",34035
"1972M01",24842,"..","..",24842
"1972M02",22372,"..","..",22372
"1972M03",24789,"..","..",24789
"1972M04",16299,"..","..",16299
"1972M05",13944,"..","..",13944
"1972M06",11207,"..","..",11207
"1972M07",14674,"..","..",14674
"1972M08",16204,"..","..",16204
"1972M09",13593,"..","..",13593
"1972M10",21782,"..","..",21782
"1972M11",23380,"..","..",23380
"1972M12",39376,"..","..",39376
"1973M01",27925,"..","..",27925
"1973M02",26995,"..","..",26995
"1973M03",29265,"..","..",29265
"1973M04",21897,"..","..",21897
"1973M05",17684,"..","..",17684
"1973M06",14085,"..","..",14085
"1973M07",18839,"..","..",18839
"1973M08",21250,"..","..",21250
"1973M09",17313,"..","..",17313
"1973M10",23174,"..","..",23174
"1973M11",28945,"..","..",28945
"1973M12",50209,"..","..",50209
"1974M01",39530,"..","..",39530
"1974M02",30791,"..","..",30791
"1974M03",34527,"..","..",34527
"1974M04",25443,"..","..",25443
"1974M05",21898,"..","..",21898
"1974M06",14890,"..","..",14890
"1974M07",18221,"..","..",18221
"1974M08",24627,"..","..",24627
"1974M09",20779,"..","..",20779
"1974M10",28630,"..","..",28630
"1974M11",32624,"..","..",32624
"1974M12",56982,"..","..",56982
"1975M01",44209,"..","..",44209
"1975M02",35180,"..","..",35180
"1975M03",37711,"..","..",37711
"1975M04",26958,"..","..",26958
"1975M05",23752,"..","..",23752
"1975M06",15424,"..","..",15424
"1975M07",17732,"..","..",17732
"1975M08",27650,"..","..",27650
"1975M09",20354,"..","..",20354
"1975M10",30404,"..","..",30404
"1975M11",36390,"..","..",36390
"1975M12",61770,"..","..",61770
"1976M01",47030,"..","..",47030
"1976M02",39070,"..","..",39070
"1976M03",38052,"..","..",38052
"1976M04",27212,"..","..",27212
"1976M05",24134,"..","..",24134
"1976M06",13312,"..","..",13312
"1976M07",17444,"..","..",17444
"1976M08",27632,"..","..",27632
"1976M09",21404,"..","..",21404
"1976M10",31572,"..","..",31572
"1976M11",36472,"..","..",36472
"1976M12",60696,"..","..",60696
"1977M01",48176,"..","..",48176
"1977M02",35792,"..","..",35792
"1977M03",36376,"..","..",36376
"1977M04",29784,"..","..",29784
"1977M05",21296,"..","..",21296
"1977M06",17032,"..","..",17032
"1977M07",22804,"..","..",22804
"1977M08",27476,"..","..",27476
"1977M09",21168,"..","..",21168
"1977M10",29928,"..","..",29928
"1977M11",37516,"..","..",37516
"1977M12",62156,"..","..",62156
"1978M01",44672,"..","..",44672
"1978M02",40500,"..","..",40500
"1978M03",36608,"..","..",36608
"1978M04",28524,"..","..",28524
"1978M05",23060,"..","..",23060
"1978M06",15760,"..","..",15760
"1978M07",20892,"..","..",20892
"1978M08",28992,"..","..",28992
"1978M09",23048,"..","..",23048
"1978M10",35052,"..","..",35052
"1978M11",40564,"..","..",40564
"1978M12",69304,"..","..",69304
"1979M01",49968,"..","..",49968
"1979M02",42068,"..","..",42068
"1979M03",41512,"..","..",41512
"1979M04",29272,"..","..",29272
"1979M05",25868,"..","..",25868
"1979M06",18216,"..","..",18216
"1979M07",23166,"..","..",23166
